journal,issn,cas_partition,quality_tier,source,note
ACS Synthetic Biology,2161-5063,Q1,,iikx biology api,CAS biology class; subclass=生化研究方法; IF2024=4.5; eissn=N/A; url=https://www.iikx.com/sci/biology/18262.html
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,1672-9145,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=4.5; eissn=1745-7270; url=https://www.iikx.com/sci/biology/9725.html
AGING CELL,1474-9718,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=7.7; eissn=1474-9726; url=https://www.iikx.com/sci/biology/9984.html
AIMS Microbiology,2471-1888,Q1,,iikx biology api,CAS biology class; subclass=; IF2024=5.4; eissn=2471-1888; url=https://www.iikx.com/sci/biology/31817.html
ALGAE,1226-2617,Q1,,iikx biology api,CAS biology class; subclass=海洋与淡水生物学; IF2024=3.3; eissn=2093-0860; url=https://www.iikx.com/sci/biology/19142.html
AMERICAN JOURNAL OF HUMAN BIOLOGY,1042-0533,Q1,,iikx biology api,CAS biology class; subclass=生物学; IF2024=1.9; eissn=1520-6300; url=https://www.iikx.com/sci/biology/10085.html
AMERICAN JOURNAL OF HUMAN GENETICS,0002-9297,Q1,,iikx biology api,CAS biology class; subclass=遗传学; IF2024=7.7; eissn=1537-6605; url=https://www.iikx.com/sci/biology/10086.html
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,0002-9483,Q1,,iikx biology api,CAS biology class; subclass=进化生物学; IF2024=2.6; eissn=1096-8644; url=https://www.iikx.com/sci/biology/10111.html
AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,0363-6143,Q1,,iikx biology api,CAS biology class; subclass=细胞生物学; IF2024=5.4; eissn=1522-1563; url=https://www.iikx.com/sci/biology/10115.html
AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,1044-1549,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=5.4; eissn=1535-4989; url=https://www.iikx.com/sci/biology/10129.html
AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,1350-6129,Q1,,iikx biology api,CAS biology class; subclass=生化与分子生物学; IF2024=5.1; eissn=1744-2818; url=https://www.iikx.com/sci/biology/10154.html
